route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
A247,A,82A,ИНЖСТРОЙ София АД - НАДЛЕЗ НАДЕЖДА - ИНЖСТРОЙ София АД,,3,,BE1E2D,FFFFFF,,,
A32,A,100,Кв. Бенковски - ПЪТНОСТРОИТЕЛНА ТЕХНИКА-временна - Кв. Бенковски,,3,,BE1E2D,FFFFFF,,,
A9,A,83,ЗООПАРКА - ХЮНДАЙ БЪЛГАРИЯ - ЗООПАРКА,,3,,BE1E2D,FFFFFF,,,
TM49,A,6A,Гара София север - Ж.К. ОБЕЛЯ-2 - Гара София север,,0,,F7941D,FFFFFF,,,
A117,A,22ТМ,Площад Васил Левски-временна - МЛАДЕЖКИ ТЕАТЪР - Площад Васил Левски-временна,,3,,BE1E2D,FFFFFF,,,
TB24,A,123,ЛИФТА СИМЕОНОВО - АВТОСТАНЦИЯ ГЕО МИЛЕВ - ЛИФТА СИМЕОНОВО,,11,,27AAE1,FFFFFF,,,
TB33,A,6,село Герман - АВТОСТАНЦИЯ ГЕО МИЛЕВ - село Герман,,11,,27AAE1,FFFFFF,,,
A49,A,28,Село Световрачане - Центъра село Мрамор - Село Световрачане,,3,,BE1E2D,FFFFFF,,,
TB45,A,10TM,Ул. Ген. Гурко - Метростанция Витоша - Ул. Ген. Гурко,,11,,27AAE1,FFFFFF,,,
A190,A,1Tb,Ж.К. ЛЕВСКИ Г - МЕТРОСТАНЦИЯ ХАДЖИ ДИМИТЪР - Ж.К. ЛЕВСКИ Г,,3,,BE1E2D,FFFFFF,,,
A256,A,805,Метростанция Витоша - Студентски град - Метростанция Витоша,,3,,BE1E2D,FFFFFF,,,
A63,A,66,ХИЖА АЛЕКО - ЗООПАРКА - ХИЖА АЛЕКО,,3,,BE1E2D,FFFFFF,,,
A103,A,150,ПЛОДОХРАНИЛИЩЕ - Ж.К. ОБЕЛЯ-1 - ПЛОДОХРАНИЛИЩЕ,,3,,BE1E2D,FFFFFF,,,
A57,A,94,УЛ. ГРАФ ИГНАТИЕВ - СТУДЕНТСКИ ГРАД - УЛ. ГРАФ ИГНАТИЕВ,,3,,BE1E2D,FFFFFF,,,
TM51,A,4,Кв. Орландовци - Ж.к. Бъкстон - Кв. Орландовци,,0,,F7941D,FFFFFF,,,
A65,A,103,АВТОСТАНЦИЯ ОВЧА КУПЕЛ - ВЗ. ЛЮЛИН - АВТОСТАНЦИЯ ОВЧА КУПЕЛ,,3,,BE1E2D,FFFFFF,,,
A253,A,802,МЕТРОСТАНЦИЯ ГОРНА БАНЯ - МЕТРОСТАНЦИЯ ГОРНА БАНЯ - МЕТРОСТАНЦИЯ ГОРНА БАНЯ,,3,,BE1E2D,FFFFFF,,,
A72,A,7,ЖП ГАРА ВЕРИЛА - ГАРА ИСКЪР - ЖП ГАРА ВЕРИЛА,,3,,BE1E2D,FFFFFF,,,
A43,A,22,СЕЛО ПОДГУМЕР - ЦЕНТРАЛНА ГАРА - СЕЛО ПОДГУМЕР,,3,,BE1E2D,FFFFFF,,,
TM34,A,18,ПЛ. МАКЕДОНИЯ - ПЛ. ЖУРНАЛИСТ - ПЛ. МАКЕДОНИЯ,,0,,F7941D,FFFFFF,,,
TM35,A,7А,Ул. Пиротска - КВ. ОРЛАНДОВЦИ - Ул. Пиротска,,0,,F7941D,FFFFFF,,,
TM23,A,8,Метростанция Вардар - ж.к. Люлин-5 - Метростанция Вардар,,0,,F7941D,FFFFFF,,,
A98,A,54,МЕТРОСТАНЦИЯ СЛИВНИЦА - ПЪТЕН ВЪЗЕЛ КАЛОТИНА - МЕТРОСТАНЦИЯ СЛИВНИЦА,,3,,BE1E2D,FFFFFF,,,
A144,A,12TM,ЦЕНТРАЛНА ГАРА - ГАРА СОФИЯ СЕВЕР - ЦЕНТРАЛНА ГАРА,,3,,BE1E2D,FFFFFF,,,
TB34,A,20T,Ж.К. ДРУЖБА-1 - АВТОСТАНЦИЯ ГЕО МИЛЕВ - Ж.К. ДРУЖБА-1,,11,,27AAE1,FFFFFF,,,
A240,A,6ТМ,КВ. ОБЕЛЯ - ЦЕНТРАЛНА ГАРА - КВ. ОБЕЛЯ,,3,,BE1E2D,FFFFFF,,,
TB21,A,9А,АВТОБАЗА ИСКЪР - УЛ. ГЕН. ГУРКО - АВТОБАЗА ИСКЪР,,11,,27AAE1,FFFFFF,,,
TB32,A,3,Ж.К. ИЗТОК - Пътностроителна техника - Ж.К. ИЗТОК,,11,,27AAE1,FFFFFF,,,
